Month,EOMONTH,Fed_Funds_Target_Rate,LIBOR___3_Month,United_States_Treasury_Constant_Maturity___1_Year,United_States_Treasury_Constant_Maturity___5_Year,United_States_Treasury_Constant_Maturity___10_Year,United_States_Treasury_Constant_Maturity___30_Year,US_Prime_Rate
9/1/2021,9/30/2021,0.0025,0.0013013,0.0009,0.0098,0.0152,0.0208,0.0325
1/1/2023,1/31/2023,0.045,0.0481357,0.0468,0.0363,0.0352,0.0365,0.075
2/1/2020,2/29/2020,0.0175,0.0146275,0.0097,0.0089,0.0113,0.0165,0.0475
9/1/2019,9/30/2019,0.02,0.0208513,0.0175,0.0155,0.0168,0.0212,0.05
12/1/2019,12/31/2019,0.0175,0.0190838,0.0159,0.0169,0.0192,0.0239,0.0475
10/1/2018,10/31/2018,0.0225,0.025585,0.0269,0.0298,0.0315,0.0339,0.0525
3/1/2021,3/31/2021,0.0025,0.0019425,0.0007,0.0092,0.0174,0.0241,0.0325
11/1/2016,11/30/2016,0.005,0.0093417,0.008,0.0183,0.0237,0.0302,0.035
2/1/2019,2/28/2019,0.025,0.0261513,0.0254,0.0252,0.0273,0.0309,0.055
7/1/2022,7/31/2022,0.025,0.0278829,0.0298,0.027,0.0267,0.03,0.055
12/1/2020,12/31/2020,0.0025,0.0023838,0.001,0.0036,0.0093,0.0165,0.0325
2/1/2017,2/28/2017,0.0075,0.01064,0.0088,0.0189,0.0236,0.0297,0.0375
7/1/2019,7/31/2019,0.025,0.0226563,0.02,0.0184,0.0202,0.0253,0.055
8/1/2022,8/31/2022,0.025,0.0309971,0.035,0.033,0.0315,0.0327,0.055
4/1/2019,4/30/2019,0.025,0.0257563,0.0239,0.0228,0.0251,0.0293,0.055
1/1/2018,1/31/2018,0.015,0.0177777,0.019,0.0252,0.0272,0.0295,0.045
8/1/2019,8/31/2019,0.0225,0.0213763,0.0176,0.0139,0.015,0.0196,0.0525
2/1/2018,2/28/2018,0.015,0.0201719,0.0207,0.0265,0.0287,0.0313,0.045
6/1/2016,6/30/2016,0.005,0.006541,0.0045,0.0101,0.0149,0.023,0.035
7/1/2016,7/31/2016,0.005,0.007591,0.005,0.0103,0.0146,0.0218,0.035
6/1/2022,6/30/2022,0.0175,0.0228514,0.028,0.0301,0.0298,0.0314,0.0475
10/1/2016,10/31/2016,0.005,0.0088428,0.0066,0.0131,0.0184,0.0258,0.035
9/1/2016,9/30/2016,0.005,0.0085367,0.0059,0.0114,0.016,0.0232,0.035
12/1/2022,12/31/2022,0.045,0.0476729,0.0473,0.0399,0.0388,0.0397,0.075
7/1/2017,7/31/2017,0.0125,0.0131056,0.0123,0.0184,0.023,0.0289,0.0425
3/1/2020,3/31/2020,0.0025,0.014505,0.0017,0.0037,0.007,0.0135,0.0325
7/1/2021,7/31/2021,0.0025,0.0011775,0.0007,0.0069,0.0124,0.0189,0.0325
9/1/2020,9/30/2020,0.0025,0.0023388,0.0012,0.0028,0.0069,0.0146,0.0325
3/1/2023,3/31/2023,0.05,0.0519271,0.0464,0.036,0.0348,0.0367,0.08
8/1/2020,8/31/2020,0.0025,0.0024088,0.0012,0.0028,0.0072,0.0149,0.0325
10/1/2019,10/31/2019,0.0175,0.0190225,0.0153,0.0151,0.0169,0.0217,0.0475
11/1/2017,11/30/2017,0.0125,0.0148738,0.0162,0.0214,0.0242,0.0283,0.0425
4/1/2017,4/30/2017,0.01,0.0117233,0.0107,0.0181,0.0229,0.0296,0.04
1/1/2020,1/31/2020,0.0175,0.0175113,0.0145,0.0132,0.0151,0.0199,0.0475
1/1/2022,1/31/2022,0.0025,0.0030886,0.0078,0.0162,0.0179,0.0211,0.0325
3/1/2018,3/31/2018,0.0175,0.0231175,0.0209,0.0256,0.0274,0.0297,0.0475
5/1/2021,5/31/2021,0.0025,0.0013138,0.0005,0.0079,0.0158,0.0226,0.0325
4/1/2020,4/30/2020,0.0025,0.0055613,0.0016,0.0036,0.0064,0.0128,0.0325
9/1/2022,9/30/2022,0.0325,0.0375471,0.0405,0.0406,0.0383,0.0379,0.0625
12/1/2017,12/31/2017,0.015,0.0169428,0.0176,0.022,0.024,0.0274,0.045
10/1/2017,10/31/2017,0.0125,0.0138122,0.0143,0.0201,0.0238,0.0288,0.0425
10/1/2020,10/31/2020,0.0025,0.0021575,0.0013,0.0038,0.0088,0.0165,0.0325
5/1/2019,5/31/2019,0.025,0.025025,0.0221,0.0193,0.0214,0.0258,0.055
10/1/2022,10/31/2022,0.0325,0.0446029,0.0466,0.0427,0.041,0.0422,0.0625
1/1/2019,1/31/2019,0.025,0.027375,0.0255,0.0243,0.0263,0.0299,0.055
5/1/2022,5/31/2022,0.01,0.0161071,0.0208,0.0281,0.0285,0.0307,0.04
4/1/2021,4/30/2021,0.0025,0.0017638,0.0005,0.0086,0.0165,0.023,0.0325
11/1/2019,11/30/2019,0.0175,0.019055,0.016,0.0162,0.0178,0.0221,0.0475
9/1/2017,9/30/2017,0.0125,0.0133389,0.0131,0.0192,0.0233,0.0286,0.0425
7/1/2020,7/31/2020,0.0025,0.0024875,0.0011,0.0021,0.0055,0.012,0.0325
5/1/2017,5/31/2017,0.01,0.0121,0.0117,0.0175,0.0221,0.0287,0.04
12/1/2018,12/31/2018,0.025,0.0280763,0.0263,0.0251,0.0269,0.0302,0.055
4/1/2018,4/30/2018,0.0175,0.0236294,0.0224,0.0279,0.0295,0.0311,0.0475
5/1/2020,5/31/2020,0.0025,0.00344,0.0017,0.003,0.0065,0.0141,0.0325
4/1/2022,4/30/2022,0.005,0.0133486,0.021,0.0292,0.0289,0.0296,0.035
6/1/2018,6/30/2018,0.02,0.0233575,0.0233,0.0273,0.0285,0.0298,0.05
1/1/2021,1/31/2021,0.0025,0.0020188,0.001,0.0045,0.0111,0.0187,0.0325
8/1/2018,8/31/2018,0.02,0.0232075,0.0246,0.0274,0.0286,0.0302,0.05
6/1/2019,6/30/2019,0.025,0.0231988,0.0192,0.0176,0.02,0.0252,0.055
3/1/2022,3/31/2022,0.005,0.0096157,0.0163,0.0242,0.0232,0.0244,0.035
6/1/2017,6/30/2017,0.0125,0.0129917,0.0124,0.0189,0.0231,0.0284,0.0425
11/1/2022,11/30/2022,0.04,0.0477857,0.0474,0.0382,0.0368,0.038,0.07
2/1/2022,2/28/2022,0.0025,0.0050429,0.0101,0.0171,0.0183,0.0217,0.0325
9/1/2018,9/30/2018,0.0225,0.0239838,0.0259,0.0294,0.0305,0.0319,0.0525
8/1/2016,8/31/2016,0.005,0.0083933,0.0061,0.0119,0.0158,0.0223,0.035
12/1/2021,12/31/2021,0.0025,0.0020913,0.0039,0.0126,0.0152,0.019,0.0325
6/1/2020,6/30/2020,0.0025,0.00302,0.0016,0.0029,0.0066,0.0141,0.0325
12/1/2016,12/31/2016,0.0075,0.0099789,0.0085,0.0193,0.0245,0.0306,0.0375
8/1/2021,8/31/2021,0.0025,0.0011963,0.0007,0.0077,0.013,0.0192,0.0325
3/1/2019,3/31/2019,0.025,0.0259975,0.024,0.0223,0.0241,0.0281,0.055
2/1/2021,2/28/2021,0.0025,0.0018838,0.0008,0.0075,0.0144,0.0217,0.0325
4/1/2023,4/30/2023,0.05,0.0530243,0.048,0.0351,0.0344,0.0367,0.08
11/1/2021,11/30/2021,0.0025,0.0017325,0.0024,0.0114,0.0143,0.0178,0.0325
2/1/2023,2/28/2023,0.0475,0.04971,0.0502,0.0418,0.0392,0.0393,0.0775
7/1/2018,7/31/2018,0.02,0.0234856,0.0244,0.0285,0.0296,0.0308,0.05
8/1/2017,8/31/2017,0.0125,0.0131778,0.0123,0.017,0.0212,0.0273,0.0425
10/1/2021,10/31/2021,0.0025,0.0013225,0.0015,0.0118,0.0155,0.0193,0.0325
5/1/2018,5/31/2018,0.0175,0.0232125,0.0223,0.0268,0.0283,0.03,0.0475
6/1/2021,6/30/2021,0.0025,0.0014575,0.0007,0.0087,0.0145,0.0206,0.0325
1/1/2017,1/31/2017,0.0075,0.0103456,0.0084,0.019,0.0245,0.0305,0.0375
3/1/2017,3/31/2017,0.01,0.0114956,0.0103,0.0193,0.024,0.0302,0.04
11/1/2018,11/30/2018,0.0225,0.0273613,0.027,0.0284,0.0301,0.033,0.0525
11/1/2020,11/30/2020,0.0025,0.0022763,0.0011,0.0036,0.0084,0.0158,0.0325
