Month,1M Lag Volume,2M Lag Volume,3M Lag Volume,4M Lag Volume,5M Lag Volume,6M Lag Volume
6/1/2016,0,0,0,0,0,0
7/1/2016,107000,0,0,0,0,0
8/1/2016,98000,68000,0,0,0,0
9/1/2016,37000,37000,21000,0,0,0
10/1/2016,61000,55000,54000,33000,0,0
11/1/2016,82000,45000,37000,37000,23000,0
12/1/2016,104000,103000,71000,55000,55000,32000
1/1/2017,121000,120000,120000,86000,71000,71000
2/1/2017,487000,485000,484000,484000,475000,466000
3/1/2017,1137000,1133000,1130000,1128000,1128000,1097000
4/1/2017,603000,602000,600000,600000,599000,598000
5/1/2017,1503000,1503000,1499000,1481000,1480000,1480000
6/1/2017,1125000,1094000,1094000,1091000,1090000,1089000
7/1/2017,304000,261000,200000,199000,193000,193000
8/1/2017,1946000,550000,498000,455000,455000,452000
9/1/2017,3513000,3512000,1109000,1063000,1005000,1003000
10/1/2017,4851000,4614000,4612000,3380000,3318000,3274000
11/1/2017,5223000,5197000,4923000,4923000,4923000,4858000
12/1/2017,5710000,5555000,5490000,5199000,5193000,5192000
1/1/2018,7621000,7591000,7451000,7393000,7067000,7063000
2/1/2018,8341000,8102000,8098000,7905000,7857000,7609000
3/1/2018,10788000,10771000,9921000,9917000,9569000,9471000
4/1/2018,11470000,11470000,11453000,10149000,10129000,10042000
5/1/2018,15532000,15516000,15514000,15229000,14034000,14030000
6/1/2018,14988000,14984000,14934000,14889000,13750000,12648000
7/1/2018,28940000,28724000,28722000,28589000,28521000,27427000
8/1/2018,29642000,29439000,28189000,28185000,27571000,27546000
9/1/2018,29367000,29364000,29125000,27506000,27504000,26552000
10/1/2018,47467000,47443000,47431000,47158000,44781000,44774000
11/1/2018,39981000,39887000,39873000,39668000,39423000,37358000
12/1/2018,37995000,37995000,37615000,37597000,37305000,37105000
1/1/2019,50429000,50427000,50419000,47016000,46984000,46647000
2/1/2019,49368000,49363000,49356000,49352000,46338000,46315000
3/1/2019,54348000,53179000,53174000,53174000,53045000,49297000
4/1/2019,62618000,62476000,61088000,61075000,61075000,60864000
5/1/2019,73698000,73678000,72718000,71118000,71112000,71112000
6/1/2019,71037000,68021000,67986000,66806000,65269000,65256000
7/1/2019,85520000,85474000,82730000,82669000,80828000,79180000
8/1/2019,95749000,95606000,95529000,91195000,91137000,88899000
9/1/2019,87422000,86892000,86713000,86666000,81293000,81236000
10/1/2019,114222000,114222000,113759000,113584000,113139000,105173000
11/1/2019,117994000,117969000,117969000,117566000,117349000,116100000
12/1/2019,142046000,142013000,140560000,140560000,140204000,139909000
1/1/2020,176076000,175512000,175478000,166943000,166943000,166491000
2/1/2020,156585000,156558000,156002000,155899000,144711000,144710000
3/1/2020,130066000,129707000,129705000,129042000,128908000,116091000
4/1/2020,149652000,148566000,148355000,148355000,147997000,147997000
5/1/2020,168975000,129824000,129477000,129174000,129173000,128315000
6/1/2020,270534000,270449000,172459000,171598000,171163000,171162000
7/1/2020,316328000,316084000,316070000,191528000,190056000,189543000
8/1/2020,235665000,235644000,235575000,235575000,91022000,90601000
9/1/2020,273148000,273148000,273116000,272914000,272914000,86989000
10/1/2020,263534000,263393000,263393000,263263000,263028000,263028000
11/1/2020,306951000,306583000,306382000,306382000,306379000,305995000
12/1/2020,339944000,339944000,339790000,339326000,339325000,339314000
1/1/2021,482539000,482533000,482533000,481996000,479035000,479032000
2/1/2021,435043000,434894000,434881000,434881000,434680000,433006000
3/1/2021,394415000,393084000,392976000,392953000,392953000,392500000
4/1/2021,437883000,437757000,437594000,437437000,437422000,437422000
5/1/2021,444177000,443989000,440914000,440725000,440391000,440374000
6/1/2021,308709000,308692000,308591000,304642000,304459000,303962000
7/1/2021,313384000,313099000,313086000,313023000,309455000,309348000
8/1/2021,366614000,366335000,365865000,365856000,365715000,362468000
9/1/2021,383026000,381948000,381487000,380867000,380828000,380563000
10/1/2021,477088000,477035000,473375000,472892000,472169000,472126000
11/1/2021,528363000,528351000,528238000,523764000,523289000,522667000
12/1/2021,470618000,470583000,470567000,470325000,465646000,465099000
1/1/2022,505987000,505953000,505920000,505897000,505814000,496944000
2/1/2022,434439000,434295000,434249000,434209000,434180000,434091000
3/1/2022,452604000,451487000,449129000,449027000,448967000,448933000
4/1/2022,405084000,404733000,403549000,403378000,403211000,402721000
5/1/2022,436384000,436139000,435520000,434199000,434080000,433730000
6/1/2022,485072000,485040000,484775000,484670000,483142000,482926000
7/1/2022,472434000,472208000,472175000,471886000,471771000,470152000
8/1/2022,544796000,544357000,543977000,543919000,543431000,543278000
9/1/2022,516058000,516056000,515740000,515388000,515326000,515123000
10/1/2022,482539000,482326000,482297000,482060000,481721000,481613000
11/1/2022,460373000,459575000,459256000,459246000,459014000,458685000
12/1/2022,420454000,420165000,419482000,419153000,419139000,418871000
1/1/2023,498092000,464292000,463993000,463322000,463243000,463233000
2/1/2023,364078000,364062000,363457000,363103000,362466000,362428000
3/1/2023,373277000,373116000,373046000,372447000,372084000,371046000
4/1/2023,115634000,115621000,115600000,115559000,115249000,115156000
